author,repo,description,tags,starts
Showndarya,Hacktoberfest,"
        A collection of words! â­ it if you ğŸ‘ it !
      ","['hacktoberfest', 'hacktoberfest2018']",279
ambujraj,hacktoberfest2018,"
        A repository for HacktoberFest 2018.
      ","['hacktoberfest', 'hacktoberfest2018']",141
Ishaan28malik,Hacktoberfest-2021,"
        Make this Hacktoberfest a learning period and contribute to Great Open Source Projects.
      ","['hacktoberfest', 'hacktoberfest2018']",550
aritraroy24,HACKTOBERFEST2021_PATTERN,"
ğŸ˜A Hacktoberfest-2021 Contribution Repository For BeginnersğŸ˜... Build Any Pattern You Like...In Any Languageâ¤â¤â¤
","['hacktoberfest', 'hacktoberfest2018']",181
codeitbijay,Hacktoberfest2k20,"
        Anyone can send any type of code , I will merge it Asap
      ","['hacktoberfest', 'hacktoberfest2018']",90
Aman22sharma,Hacktoberfest2021_beginner,"
        This Repository is for Hacktoberfest absolute beginners guide
      ","['hacktoberfest', 'hacktoberfest2018']",103
sukhdeepg,Hacktoberfest,"
        Share your favorite code snippets! Hacktoberfest 2019! ğŸ’»
","['hacktoberfest', 'hacktoberfest2018']",28
Almas-Ali,Hacktoberfest2021_PatternMaking,"
        Hacktoberfest2021 ğŸ¥³- Contribute Any Pattern In Any LanguageğŸ˜ Every PR will be accepted Pls contribute 
      ","['hacktoberfest', 'hacktoberfest2018']",52
python,cpython,"
        The Python programming language
      ","['hacktoberfest', 'hacktoberfest2018']",41k
rohithsprabhu,hacktoberfest2021,"
        C , C++ , Python & Java Snippets can be adedd here
      ","['hacktoberfest', 'hacktoberfest2018']",38
